dataset,run,training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
D5,D5_legacy_continuous_smoke,1,1,quantized_training,256,32,0.1000000089406967,0.0,0.0011718750465661,0.0140625005587935,2.9863643646240234,19.81351661682129,0.6253905892372131,True,1,True,False,False,3.719643596312002e-25,0.0092004770413041,0.9990005493164062,,,,0.0,0.0858721658587455,9.750678062438965,33,0,0
D5,D5_legacy_continuous_smoke,2,1,quantized_training,256,18,0.1899999976158142,0.000351562484866,0.0024609374813735,0.024218751117587,3.1640422344207764,23.66606712341309,0.5502673387527466,True,1,True,False,False,8.463842724521895e-43,2.8382140953908674e-05,0.2448155879974365,,,,0.0,0.000219017631025,2.389075756072998,26,0,0
D5,D5_legacy_continuous_smoke,3,1,quantized_training,256,19,0.2709999680519104,0.0003164062218274,0.0027460937853902,0.0462890639901161,2.944307804107666,18.997509002685547,0.6327117085456848,True,1,True,False,False,0.0,3.1843910619500093e-06,0.2817810475826263,,,,0.0,3.0722392693860456e-05,2.039613008499145,27,0,0
D5,D5_legacy_continuous_smoke,4,1,quantized_training,256,19,0.3438999950885772,0.0006011718069203,0.0031640622764825,0.0686132833361625,2.91263484954834,18.405229568481445,0.638283371925354,True,1,True,False,False,0.0,3.7035087530057353e-07,0.0902035012841224,,,,0.0,3.416082336116233e-06,0.7190116047859192,28,0,0
D5,D5_legacy_continuous_smoke,5,1,quantized_training,256,19,0.4095099568367004,0.0005410545854829,0.0033317580819129,0.090267576277256,2.7899832725524902,16.280746459960938,0.6786652207374573,True,1,True,False,False,0.0,1.957418191977922e-07,0.1147248819470405,,,,0.0,1.62486298904696e-06,1.1777608394622805,28,0,0
D5,D5_legacy_continuous_smoke,6,1,quantized_training,256,18,0.4685589671134949,0.0004869491094723,0.0039212224073708,0.1085845679044723,2.69858455657959,14.858684539794922,0.7056368589401245,True,1,True,False,False,0.0,1.240834706095484e-07,0.1424454152584076,,,,0.0,1.1027511845895788e-06,1.020763635635376,27,0,0
D5,D5_legacy_continuous_smoke,7,1,quantized_training,256,19,0.5217031240463257,0.0004638831014744,0.0035290999803692,0.1207729801535606,2.662867307662964,14.337340354919434,0.718359112739563,True,1,True,False,False,0.0,6.085549557610648e-07,0.1562133729457855,,,,0.0,5.9413673625385854e-06,1.1468607187271118,25,0,0
D5,D5_legacy_continuous_smoke,8,2,quantized_training,256,18,0.5695328116416931,0.0005605040933005,0.0034193005412817,0.1399456858634948,2.602504253387451,13.497496604919434,0.7339366674423218,True,1,True,False,False,0.0,6.805003067711368e-07,0.1061378791928291,,,,0.0,5.9425647123134695e-06,1.0203964710235596,26,0,0
D5,D5_legacy_continuous_smoke,9,2,quantized_training,256,20,0.6125794649124146,0.0005044536665081,0.0031948732212185,0.1536854803562164,2.5600390434265137,12.936322212219238,0.7462341785430908,True,1,True,False,False,0.0,9.44148837334069e-07,0.1328128278255462,,,,0.0,8.84977271198295e-06,1.168310046195984,25,0,0
D5,D5_legacy_continuous_smoke,10,2,quantized_training,256,15,0.651321530342102,0.0004540082882158,0.0030123945325613,0.173082560300827,2.497731208801269,12.154885292053224,0.7610587477684021,True,1,True,False,False,0.0,3.78001118406246e-06,0.1625071465969085,,,,0.0,3.133478821837343e-05,1.184510350227356,25,0,0
